external_id;ywp_id;ywp_year;ywp_name;actorID;bc_id;conflictID;bc_name;bwd_id;bwd_name;key1;country1;country2;locationid1;locationid2;external_exists;external_name;external_nameid;external_alleged;external_type_X;external_type_Y;external_type_L;external_type_W;external_type_M;external_type_T;external_type_$;external_type_I;external_type_O;external_type_U;external_type_text;external_type_code
65;4789;1989;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1989137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Soviet Union;365;0;1;0;0;1;1;1;0;0;0;0;Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise;XWMT
66;4816;1990;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1990137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Soviet Union;365;0;0;0;0;1;1;1;0;0;0;0;Weapons, Materiel/Logistics, Training/Expertise;WMT
67;4819;1991;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1991137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Soviet Union;365;0;0;0;0;1;1;1;1;0;0;0;Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support;WMT$
69;4807;1993;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1993137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Saudi Arabia;670;0;0;0;0;0;1;0;1;0;0;0;Materiel/Logistics, Funding/Economic Support;M$
70;4807;1993;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1993137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Iran;630;0;0;0;0;0;0;0;1;0;0;0;Funding/Economic Support;$
71;4867;1994;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1994137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Saudi Arabia;670;0;0;0;0;0;1;0;1;0;0;0;Materiel/Logistics, Funding/Economic Support;M$
73;4794;1995;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;1995137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;India;750;0;0;0;0;0;1;1;1;0;0;0;Materiel/Logistics, Training/Expertise, Funding/Economic Support;MT$
74;8258;2008;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;2008137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Albania;339;0;1;0;0;0;0;0;0;0;0;0;Troops as secondary warring party;X
75;8258;2008;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;2008137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Australia;900;0;1;0;0;0;0;0;0;0;0;0;Troops as secondary warring party;X
76;8258;2008;Government of Afghanistan;700;189;137;Afghanistan;412;Government of Afghanistan - Hizb-i Islami-yi Afghanistan;2008137Government of Afghanistan - Hizb-i Islami-yi Afghanistan;Afghanistan;;700;0;1;Austria;305;0;1;0;0;0;0;0;0;0;0;0;Troops as secondary warring party;X
