external_id,ywp_id,ywp_year,Key1-2,ywp_name,actorID,bc_id,conflictID,conflictID2,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_exists,external_name,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code,external_type_of_support 1,external_type_of_support 2,external_type_of_support 3,external_type_of_support 4,external_type_of_support 5,quien_que_aquien5,quien_que_aquien1,quien_que_aquien2,quien_que_aquien3,quien_que_aquien4,quien_ayudo_aquien,quien_conque1,quien_conque2,external_nameid,quien_conque3,quien_conque4,quien_conque5
65,4789,1989,19891-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,0,1,0,0,1,1,1,0,0,0,0,"Troops as secondary warring party, Weapons, Materiel/Logistics, Training/Expertise",XWMT,X,W,M,T,,,Soviet Union ayudo a Government of Afghanistan con X,Soviet Union ayudo a Government of Afghanistan con W,Soviet Union ayudo a Government of Afghanistan con M,Soviet Union ayudo a Government of Afghanistan con T,Soviet Union ayudo a Government of Afghanistan,Soviet Union ayudo con X,Soviet Union ayudo con W,365,Soviet Union ayudo con M,Soviet Union ayudo con T,
66,4816,1990,19901-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT,W,M,T,,,,Soviet Union ayudo a Government of Afghanistan con W,Soviet Union ayudo a Government of Afghanistan con M,Soviet Union ayudo a Government of Afghanistan con T,,Soviet Union ayudo a Government of Afghanistan,Soviet Union ayudo con W,Soviet Union ayudo con M,365,Soviet Union ayudo con T,,
67,4819,1991,19911-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Soviet Union,0,0,0,0,1,1,1,1,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise, Funding/Economic Support",WMT$,W,M,T,$,,,Soviet Union ayudo a Government of Afghanistan con W,Soviet Union ayudo a Government of Afghanistan con M,Soviet Union ayudo a Government of Afghanistan con T,Soviet Union ayudo a Government of Afghanistan con $,Soviet Union ayudo a Government of Afghanistan,Soviet Union ayudo con W,Soviet Union ayudo con M,365,Soviet Union ayudo con T,Soviet Union ayudo con $,
69,4807,1993,19931-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Saudi Arabia,0,0,0,0,0,1,0,1,0,0,0,"Materiel/Logistics, Funding/Economic Support",M$,M,$,,,,,Saudi Arabia ayudo a Government of Afghanistan con M,Saudi Arabia ayudo a Government of Afghanistan con $,,,Saudi Arabia ayudo a Government of Afghanistan,Saudi Arabia ayudo con M,Saudi Arabia ayudo con $,670,,,
70,4807,1993,19931-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Iran,0,0,0,0,0,0,0,1,0,0,0,Funding/Economic Support,$,$,,,,,,Iran ayudo a Government of Afghanistan con $,,,,Iran ayudo a Government of Afghanistan,Iran ayudo con $,,630,,,
71,4867,1994,19941-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Saudi Arabia,0,0,0,0,0,1,0,1,0,0,0,"Materiel/Logistics, Funding/Economic Support",M$,M,$,,,,,Saudi Arabia ayudo a Government of Afghanistan con M,Saudi Arabia ayudo a Government of Afghanistan con $,,,Saudi Arabia ayudo a Government of Afghanistan,Saudi Arabia ayudo con M,Saudi Arabia ayudo con $,670,,,
73,4794,1995,19951-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,India,0,0,0,0,0,1,1,1,0,0,0,"Materiel/Logistics, Training/Expertise, Funding/Economic Support",MT$,M,T,$,,,,India ayudo a Government of Afghanistan con M,India ayudo a Government of Afghanistan con T,India ayudo a Government of Afghanistan con $,,India ayudo a Government of Afghanistan,India ayudo con M,India ayudo con T,750,India ayudo con $,,
74,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Albania,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Albania ayudo a Government of Afghanistan con X,,,,Albania ayudo a Government of Afghanistan,Albania ayudo con X,,339,,,
75,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Australia,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Australia ayudo a Government of Afghanistan con X,,,,Australia ayudo a Government of Afghanistan,Australia ayudo con X,,900,,,
76,8258,2008,20081-137Government of Afghanistan - Hizb-i Islami-yi Afghanistan700,Government of Afghanistan,700,189,137,1-137,Afghanistan,412,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,Afghanistan,,700,0,1,Austria,0,1,0,0,0,0,0,0,0,0,0,Troops as secondary warring party,X,X,,,,,,Austria ayudo a Government of Afghanistan con X,,,,Austria ayudo a Government of Afghanistan,Austria ayudo con X,,305,,,
